zip_code,school_name,school_rating,grade_levels,percent_low_income
22630,Warren County High School,5.0,8-12,31
24210,Abingdon High School,5.0,9-12,32
24202,John S. Battle High School,5.0,9-12,35
23188,Bruton High School,5.0,9-12,24
23456,Landstown High School,5.0,9-12,31
23185,Warhill High School,5.0,9-12,25
23002,Amelia County High School,4.0,9-12,37
24521,Amherst County High School,4.0,9-12,41
24523,Liberty High School,4.0,9-12,41
24121,Staunton River High School,4.0,9-12,41
24201,Virginia High School,4.0,9-12,49
23921,Buckingham County High School,4.0,9-12,58
24588,Rustburg High School,4.0,9-12,34
23030,Charles City Co High School,4.0,7-12,48
23923,Randolph-Henry High School,4.0,9-12,46
23325,Indian River High School,4.0,9-12,34
23323,Deep Creek High School,4.0,9-12,36
23112,Manchester High School,4.0,9-12,23
23838,Matoaca High School,4.0,9-12,24
22701,Culpeper County High School,4.0,9-12,32
22310,Edison High School,4.0,9-12,33
20191,South Lakes High School,4.0,9-12,26
23851,Franklin High School,4.0,9-12,98
24151,Franklin County High School,4.0,9-12,19
24333,Galax High School,4.0,8-12,56
24348,Grayson County High School,4.0,9-12,51
24592,Halifax County High School,4.0,9-12,55
23294,Tucker High School,4.0,9-12,41
24148,Magna Vista High School,4.0,9-12,51
23086,King William High School,4.0,9-12,26
24248,Thomas Walker High School,4.0,8-12,70
22473,Northumberland High School,4.0,9-12,42
24531,Chatham High School,4.0,9-12,42
24557,Gretna High School,4.0,9-12,56
23703,Churchland High School,4.0,9-12,40
24015,Patrick Henry High School,4.0,9-12,56
24354,Marion Senior High School,4.0,9-12,46
23837,Southampton High School,4.0,9-12,33
22407,Chancellor High School,4.0,9-12,37
22405,Stafford Sr. High School,4.0,9-12,22
23434,Nansemond River High School,4.0,9-12,23
23839,Surry County High School,4.0,9-12,49
24605,Graham High School,4.0,9-12,40
23464,Kempsville High School,4.0,9-12,32
22601,John Handley High School,4.0,9-12,46
24634,Twin Valley High School,4.0,8-12,65
22443,Colonial Beach High School,4.0,8-12,74
22603,Millbrook High School,4.0,9-12,27
20164,Dominion High School,4.0,PK-12,24
22701,Eastern View High School,4.0,9-12,38
20176,Tuscarora High School,4.0,PK-12,20
22630,Skyline High School,4.0,8-12,36
23416,Arcadia High School,3.0,9-12,62
22902,Monticello High School,3.0,9-12,30
24426,Alleghany High School,3.0,9-12,38
22204,Wakefield High School,3.0,9-12,42
23868,Brunswick High School,3.0,9-12,94
24416,Parry Mccluer High School,3.0,8-12,38
22546,Caroline High School,3.0,9-12,44
24343,Carroll County High School,3.0,9-12,45
23320,Oscar F. Smith High School,3.0,9-12,44
23832,Lloyd C Bird High School,3.0,9-12,32
24426,Covington High School,3.0,8-12,44
24127,Craig County High School,3.0,6-12,44
22560,Essex High School,3.0,9-12,55
22003,Annandale High School,3.0,9-12,50
22042,Falls Church High School,3.0,9-12,48
22307,West Potomac High School,3.0,9-12,38
22044,Justice High School,3.0,9-12,53
22712,Liberty High School,3.0,9-12,29
23847,Greensville County High School,3.0,9-12,59
23666,Bethel High School,3.0,9-12,38
23669,Hampton High School,3.0,9-12,54
23228,Hermitage High School,3.0,9-12,49
23075,Highland Springs High School,3.0,9-12,61
23231,Varina High School,3.0,9-12,49
24055,Bassett High School,3.0,9-12,55
23085,Central High School,3.0,8-12,53
22503,Lancaster High School,3.0,9-12,65
24277,Lee High School,3.0,9-12,54
24501,E.C. Glass High School,3.0,9-12,42
24112,Martinsville High School,3.0,9-12,62
23968,Bluestone  High School,3.0,9-12,59
23970,Park View High School,3.0,9-12,49
23608,Denbigh High School,3.0,9-12,43
23601,Warwick High School,3.0,9-12,53
23605,Heritage High School,3.0,9-12,67
23504,B. T. Washington High School,3.0,9-12,61
23505,Granby High School,3.0,9-12,48
23517,Maury High School,3.0,9-12,37
23513,Norview High School,3.0,9-12,52
23310,Northampton High School,3.0,9-12,65
23930,Nottoway High School,3.0,9-12,54
