zip_code,school_name,school_rating,grade_levels,percent_low_income
20175,Evergreen Mill Elementary School,8.0,PK-5,39
20148,Hillside Elementary School,8.0,PK-5,4
20110,Weems Elementary School,8.0,PK-4,68
24060,Gilbert Linkous Elementary School,8.0,PK-5,19
23601,Hilton Elementary School,8.0,PK-5,28
23518,Larrymore Elementary School,8.0,PK-5,61
23505,Sewells Point Elementary School,8.0,PK-5,60
24053,Blue Ridge Elementary School,8.0,PK-7,65
24120,Meadows Of Dan Elementary School,8.0,PK-7,13
24185,Woolwine Elementary School,8.0,PK-7,63
24563,John L. Hurt Elementary School,8.0,PK-5,77
24557,Mt. Airy Elementary School,8.0,PK-5,73
23662,Poquoson Elementary School,8.0,3-5,18
23139,Powhatan Elementary School,8.0,K-5,25
23842,South Elementary School,8.0,PK-5,41
23875,William A. Walton Elementary School,8.0,PK-5,47
22192,Old Bridge Elementary School,8.0,PK-5,38
24018,Cave Spring Elementary School,8.0,PK-5,14
24014,Mount Pleasant Elementary School,8.0,PK-5,38
22812,John W. Wayland Elementary School,8.0,PK-5,29
24260,Honaker Elementary School,8.0,PK-7,61
24370,Rich Valley Elementary School,8.0,PK-5,54
23829,Capron Elementary School,8.0,PK-5,57
24630,North Tazewell Elementary School,8.0,PK-5,69
24641,Richlands Elementary School,8.0,PK-5,61
24651,Tazewell Elementary School,8.0,PK-5,57
23456,Strawbridge Elementary School,8.0,PK-5,15
23456,Landstown Elementary School,8.0,PK-5,34
23454,Corporate Landing Elementary School,8.0,PK-5,52
23452,Holland Elementary School,8.0,PK-5,73
23454,John B. Dey Elementary School,8.0,PK-5,15
23462,Pembroke Elementary School,8.0,PK-5,53
23454,Trantwood Elementary School,8.0,PK-5,21
23453,Rosemont Elementary School,8.0,PK-5,65
23456,Salem Elementary School,8.0,PK-5,36
23454,Ocean Lakes Elementary School,8.0,PK-5,25
24202,Valley Institute Elementary,8.0,PK-5,61
23181,West Point Elementary School,8.0,PK-5,39
24360,Max Meadows Elementary School,8.0,PK-5,53
23693,Coventry Elementary School,8.0,PK-5,13
24019,Bonsack Elementary School,8.0,PK-5,9
20152,Little River Elementary School,8.0,PK-5,2
20148,Mill Run Elementary School,8.0,PK-5,2
22204,Campbell Elementary School,8.0,PK-5,53
20136,Cedar Point Elementary School,8.0,PK-5,9
23323,Grassfield Elementary School,8.0,PK-5,13
20120,Powell Elementary School,8.0,PK-6,11
20169,J.W. Alvey Elementary School,8.0,PK-5,4
20155,Buckland Mills Elementary School,8.0,PK-5,16
23059,Greenwood Elementary School,8.0,PK-5,38
20148,Legacy Elementary School,8.0,PK-5,2
20147,Newton-Lee Elementary School,8.0,PK-5,4
23456,Three Oaks Elementary School,8.0,PK-5,14
23059,Colonial Trail Elementary School,8.0,PK-5,6
20175,Sycolin Creek Elementary School,8.0,PK-5,2
24101,Windy Gap Elementary School,8.0,PK-5,39
20181,T. Clay Wood Elementary School,8.0,PK-5,12
20148,ROCK RIDGE HIGH SCHOOL,8.0,PK-12,13
20152,Cardinal Ridge Elementary,8.0,PK-5,5
22901,Meriwether Lewis Elementary School,7.0,K-5,8
24590,Scottsville Elementary School,7.0,PK-5,42
22314,Lyles-Crouch Elementary,7.0,PK-5,28
22205,Ashlawn Elementary School,7.0,PK-5,17
24526,Big Island Elementary School,7.0,PK-5,38
24090,Breckinridge Elementary School,7.0,PK-5,26
24085,Eagle Rock Elementary School,7.0,PK-5,38
24502,Tomahawk Elementary School,7.0,PK-5,36
24333,Gladeville Elementary School,7.0,PK-5,61
23947,Eureka Elementary School,7.0,PK-5,59
23322,Southeastern Elementary School,7.0,PK-5,6
23322,Butts Road Intermediate School,7.0,3-5,8
23322,Cedar Road Elementary School,7.0,PK-5,13
23236,A M Davis Elementary School,7.0,PK-5,56
23237,Beulah Elementary School,7.0,PK-5,62
23120,Grange Hall Elementary School,7.0,PK-5,11
23235,Greenfield Elementary School,7.0,PK-5,18
23234,Hopkins Road Elementary School,7.0,PK-5,64
23803,Matoaca Elementary School,7.0,PK-5,48
23113,Robious Elementary School,7.0,PK-5,8
23112,Alberta Smith Elementary School,7.0,PK-5,17
23832,O B Gates Elementary School,7.0,PK-5,23
23112,Swift Creek Elementary School,7.0,PK-5,9
23833,Midway Elementary School,7.0,K-5,42
22041,Belvedere Elementary School,7.0,PK-5,51
22124,Waples Mill Elementary School,7.0,PK-6,8
22003,Camelot Elementary School,7.0,PK-6,32
22003,Canterbury Woods Elementary School,7.0,PK-6,10
22039,Fairview Elementary School,7.0,PK-6,7
22152,Hunt Valley Elementary School,7.0,PK-6,8
22043,Lemon Road Elementary School,7.0,PK-6,17
22031,Mosby Woods Elementary School,7.0,PK-6,22
22152,Orange Hunt Elementary School,7.0,PK-6,4
22151,Ravensworth Elementary School,7.0,PK-6,17
22102,Spring Hill Elementary School,7.0,PK-6,3
20191,Sunrise Valley Elementary School,7.0,PK-6,6
22152,West Springfield Elementary School,7.0,PK-6,8
20171,Fox Mill Elementary School,7.0,PK-6,5
22151,Kings Glen Elementary School,7.0,4-6,25
20124,Union Mill Elementary School,7.0,PK-6,9
22033,Lees Corner Elementary School,7.0,PK-6,11
20187,P.B. Smith Elementary School,7.0,PK-5,8
24141,Indian Valley Elementary School,7.0,PK-7,45
24184,Burnt Chimney Elementary School,7.0,PK-5,44
23061,Botetourt Elementary School,7.0,PK-5,34
23061,Bethel Elementary School,7.0,PK-5,36
23061,Petsworth Elementary School,7.0,PK-5,44
23229,Davis Elementary School,7.0,PK-5,31
24112,Rich Acres Elementary School,7.0,PK-5,86
24465,Highland Elementary School,7.0,PK-5,70
24243,Dryden Elementary School,7.0,PK-5,71
24281,Rose Hill Elementary School,7.0,PK-4,69
24450,Harrington Waddell Elementary School,7.0,PK-5,25
20165,Algonkian Elementary School,7.0,PK-5,12
24060,Kipps Elementary School,7.0,K-5,15
24141,Belview Elementary School,7.0,PK-5,49
23508,Larchmont Elementary School,7.0,PK-5,18
23518,Tarrallton Elementary School,7.0,PK-5,54
22473,Northumberland Elementary School,7.0,PK-5,65
22508,Locust Grove Elementary School,7.0,3-5,45
24133,Patrick Springs Elementary School,7.0,PK-3,60
24557,Gretna Elementary School,7.0,PK-5,69
24586,Kentuck Elementary School,7.0,PK-5,58
24527,Southside Elementary School,7.0,PK-5,61
24541,Stony Mill Elementary School,7.0,PK-5,61
23842,David A. Harrison Elementary School,7.0,PK-5,53
20181,Nokesville Elementary School,7.0,PK-8,18
20110,Bennett Elementary School,7.0,PK-5,17
22025,A. Henderson Elementary School,7.0,PK-5,21
24084,Dublin Elementary School,7.0,PK-5,53
24015,Virginia Heights Elementary School,7.0,PK-5,99
24012,Monterey Elementary School,7.0,PK-5,99
24018,Back Creek Elementary School,7.0,PK-5,16
24179,Herman L. Horn Elementary School,7.0,PK-5,51
24019,Glen Cove Elementary School,7.0,PK-5,29
24018,Penn Forest Elementary School,7.0,PK-5,16
24435,Fairfield Elementary School,7.0,PK-5,56
22827,Elkton Elementary School,7.0,PK-5,43
24153,South Salem Elementary School,7.0,K-5,24
24244,Duffield-Pattonsville Primary School,7.0,PK-4,63
24258,Hilton Elementary School,7.0,PK-6,51
24271,Nickelsville Elementary School,7.0,PK-7,59
24354,Marion Primary School,7.0,PK-5,58
24370,Saltville Elementary School,7.0,PK-5,81
23878,Nottoway Elementary School,7.0,PK-5,40
22556,Rockhill Elementary School,7.0,PK-5,26
24609,Cedar Bluff Elementary School,7.0,PK-5,50
23454,Alanton Elementary School,7.0,PK-5,38
23462,Arrowhead Elementary School,7.0,PK-5,41
23455,Bayside Elementary School,7.0,PK-5,55
23464,Fairfield Elementary School,7.0,PK-5,30
23455,Hermitage Elementary School,7.0,PK-5,37
23464,Kempsville Elementary School,7.0,PK-5,33
23454,Linkhorn Park Elementary School,7.0,PK-5,24
23452,Malibu Elementary School,7.0,PK-5,47
23455,Shelton Park Elementary School,7.0,PK-5,56
23464,Indian Lakes Elementary School,7.0,PK-5,32
23464,Centerville Elementary,7.0,PK-5,22
23464,Tallwood Elementary School,7.0,PK-5,38
23464,Glenwood Elementary School,7.0,PK-5,41
24361,Meadowview Elementary School,7.0,PK-5,61
24361,Rhea Valley Elementary School,7.0,PK-5,64
22980,Berkeley Glenn Elementary School,7.0,K-5,50
24230,Coeburn Primary School,7.0,PK-4,75
24293,Wise Primary School,7.0,PK-4,49
23692,Dare Elementary School,7.0,PK-5,23
23692,Grafton Bethel Elementary School,7.0,PK-5,17
23185,Waller Mill Elementary School,7.0,K-5,19
22846,Peak View Elementary School,7.0,PK-5,32
23188,Stonehouse Elementary School,7.0,K-5,24
20175,Heritage High School,7.0,PK-12,18
20176,Seldens Landing Elementary School,7.0,PK-5,8
22556,Kate Waller Barrett Elementary School,7.0,PK-5,51
23116,Kersey Creek Elementary School,7.0,PK-5,7
22556,Margaret Brent Elementary School,7.0,PK-5,19
20105,Pinebrook Elementary School,7.0,PK-5,9
20148,Rosa Lee Carter Elementary School,7.0,PK-5,6
23188,Matoaka Elementary School,7.0,K-5,18
23111,Laurel Meadow Elementary School,7.0,PK-5,22
20147,Steuart W. Weller Elementary School,7.0,PK-5,20
20152,Liberty Elementary School,7.0,PK-5,10
20169,Samuel L. Gravely Jr. Elementary School,7.0,PK-5,8
23666,George P Phenix Elementary School,7.0,PK-8,33
20132,Woodgrove High School,7.0,PK-12,6
20148,Moorefield Station Elementary School,7.0,PK-5,4
23437,Pioneer Elementary,7.0,PK-5,48
23882,Sussex Central Elementary School,7.0,PK-5,79
23509,The Academy for Discovery at Lakewood,7.0,3-8,49
22302,Charles Barrett Elementary School,6.0,PK-5,33
24572,Elon Elementary School,6.0,PK-5,30
22207,Glebe Elementary School,6.0,PK-5,15
22204,Henry Elementary School,6.0,PK-5,38
22201,Long Branch Elementary School,6.0,PK-5,31
24445,Valley Elementary School,6.0,PK-7,49
24556,Otter River Elementary School,6.0,PK-5,32
