zip_code,school_name,school_rating,grade_levels,percent_low_income
22815,Elkton Middle School,6.0,6-8,34
22815,J. Frank Hillyard Middle School,6.0,6-8,37
24649,Swords Creek Elementary School,6.0,3-7,61
24245,Dungannon Intermediate School,6.0,4-7,70
24319,Chilhowie Middle School,6.0,6-8,53
24354,Marion Middle School,6.0,6-8,57
23837,Southampton Middle School,6.0,6-8,44
22553,Spotsylvania Middle School,6.0,6-8,29
22405,Edward E. Drew Jr. Middle School,6.0,6-8,36
23435,John Yeates Middle School,6.0,6-8,26
24651,Tazewell Middle School,6.0,6-8,55
23462,Bayside Middle School,6.0,6-8,66
23464,Brandon Middle School,6.0,6-8,42
23464,Kempsville Middle School,6.0,6-8,31
23454,Lynnhaven Middle School,6.0,6-8,32
23452,Plaza Middle School,6.0,6-8,44
24210,E.B. Stanley Middle School,6.0,6-8,41
24236,Damascus Middle School,6.0,6-8,62
23692,Yorktown Middle School,6.0,6-8,26
22553,Ni River Middle School,6.0,6-8,23
23320,Greenbrier Middle School,6.0,6-8,24
20112,Louise A. Benton Middle School,6.0,6-8,14
20155,Bull Run Middle School,6.0,6-8,24
24360,Fort Chiswell Middle School,6.0,6-8,47
24382,Scott Memorial Middle School,6.0,6-8,46
22508,Locust Grove Middle School,6.0,6-8,29
22407,Freedom Middle School,6.0,6-8,34
22405,Donald B. Dixon-Lyle R. Smith Middle School,6.0,6-8,22
22602,Admiral Richard E. Byrd Middle School,6.0,6-8,26
23060,Hungary Creek Middle School,6.0,6-8,26
24266,Lebanon Middle School,6.0,5-7,52
23188,Lois Hornsby Middle School,6.0,6-8,17
23836,Elizabeth Davis Middle School,6.0,6-8,31
22554,Shirley C. Heim Middle School,6.0,6-8,38
22835,Luray Middle School,6.0,6-8,52
22079,South County Middle School,6.0,7-8,17
23462,Bayside 6th Grade Campus,6.0,K-1,73
20148,Stone Hill Middle School,6.0,6-8,8
22903,Jackson P Burley Middle School,5.0,6-8,36
22932,Joseph T Henley Middle School,5.0,6-8,11
24521,Amherst Middle School,5.0,6-8,49
24572,Monelison Middle School,5.0,6-8,52
22204,Jefferson Middle School,5.0,6-8,46
22980,Stuarts Draft Middle School,5.0,6-8,38
24121,Staunton River Middle School,5.0,6-8,50
24201,Virginia Middle School,5.0,6-8,72
24554,William Campbell High School,5.0,6-12,51
23923,Central Middle School,5.0,6-8,53
23831,Carver Middle School,5.0,6-8,40
23235,Manchester Middle School,5.0,6-8,40
23803,Matoaca Middle School,5.0,6-8,29
23235,Providence Middle School,5.0,6-8,47
23237,Salem Church Middle School,5.0,6-8,48
23834,Colonial Heights Middle School,5.0,6-8,46
23841,Dinwiddie Middle School,5.0,6-8,50
22315,Hayfield Secondary,5.0,7-12,28
22150,Key Middle School,5.0,7-8,56
22030,Lanier Middle School,5.0,7-8,24
22042,Jackson Middle School,5.0,7-8,40
20191,Hughes Middle School,5.0,7-8,33
24091,Floyd Elementary School,5.0,PK-7,52
24380,Willis Elementary School,5.0,PK-7,59
22655,Robert E. Aylor Middle School,5.0,6-8,35
24333,Galax Middle School,5.0,5-7,64
